SKU,Item Name,Variation Name,Categories,Reporting Category,GTIN,Square Online Item Visibility,Shipping Enabled,Pickup Enabled,Price,Default Unit Cost,Default Vendor Name,Default Vendor Name Link,Default Vendor Code,Enabled Provo,Current Quantity Provo,Stock Alert Enabled Provo,Stock Alert Count Provo,Enabled American Fork,Current Quantity American Fork,Stock Alert Enabled American Fork,Stock Alert Count American Fork,Items,Provo Restock Cost
6455810,"Adult ""Neo Flex"" Slip-On Jazz Shoes",Regular,,,688478629413,visible,Y,Y,,,,,,,0,,,checked,0,,,,$0.00
867049J,Bloch Adult Dance Now Student Jazz Tap BLK,"4,M","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478673997,visible,Y,Y,$49.00,$22.50,Bloch,Bloch,DN3710LBLKM-4,checked,0,N,0,checked,1,N,0,867049J,$0.00
584609W,Bloch Adult Dance Now Student Jazz Tap BLK,"4,W","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKW-4,checked,0,N,0,checked,0,N,0,584609W,$0.00
175856P,Bloch Adult Dance Now Student Jazz Tap BLK,"4.5,M","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674000,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKM-4.5,checked,0,N,0,checked,2,N,0,175856P,$0.00
L838311,Bloch Adult Dance Now Student Jazz Tap BLK,"4.5,W","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674154,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKW-4.5,checked,0,N,0,checked,0,N,0,L838311,$0.00
520612F,Bloch Adult Dance Now Student Jazz Tap BLK,"5,M","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674017,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKM-5,checked,0,N,0,checked,1,N,0,520612F,$0.00
3909442,Bloch Adult Dance Now Student Jazz Tap BLK,"5,W","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674161,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKW-5,checked,0,N,0,checked,0,N,0,3909442,$0.00
504045B,Bloch Adult Dance Now Student Jazz Tap BLK,"5.5,M","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674024,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKM-5.5,checked,0,N,0,checked,1,N,0,504045B,$0.00
J127303,Bloch Adult Dance Now Student Jazz Tap BLK,"5.5,W","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674178,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKW-5.5,checked,0,N,0,checked,1,N,0,J127303,$0.00
5087803,Bloch Adult Dance Now Student Jazz Tap BLK,"6,M","Footwear,Footwear > Tap Shoes,Footwear > Tap Shoes > Women's",Footwear > Tap Shoes,688478674031,visible,,,$49.00,$22.50,Bloch,Bloch,DN3710LBLKM-6,checked,0,N,0,checked,1,N,0,5087803,$0.00
